
----------------------------------
Learning...
0: w1=1.000000, w2=1.000000, w3=1.000000
310: cost=0.260398, w1=-2.675596, w2=-0.313262, w3=1.215687
311: cost=0.259890, w1=-2.682710, w2=-0.312738, w3=1.216895
312: cost=0.259384, w1=-2.689808, w2=-0.312216, w3=1.218101
313: cost=0.258881, w1=-2.696892, w2=-0.311694, w3=1.219303
314: cost=0.258379, w1=-2.703962, w2=-0.311173, w3=1.220502
315: cost=0.257880, w1=-2.711017, w2=-0.310653, w3=1.221699
316: cost=0.257383, w1=-2.718058, w2=-0.310133, w3=1.222893
317: cost=0.256887, w1=-2.725084, w2=-0.309615, w3=1.224084
318: cost=0.256394, w1=-2.732096, w2=-0.309097, w3=1.225272
319: cost=0.255903, w1=-2.739094, w2=-0.308580, w3=1.226457
320: cost=0.255414, w1=-2.746078, w2=-0.308064, w3=1.227640
321: cost=0.254927, w1=-2.753048, w2=-0.307548, w3=1.228820
322: cost=0.254442, w1=-2.760003, w2=-0.307034, w3=1.229998
323: cost=0.253958, w1=-2.766945, w2=-0.306520, w3=1.231172
324: cost=0.253477, w1=-2.773872, w2=-0.306008, w3=1.232345
325: cost=0.252998, w1=-2.780786, w2=-0.305496, w3=1.233514
326: cost=0.252521, w1=-2.787686, w2=-0.304985, w3=1.234681
327: cost=0.252045, w1=-2.794572, w2=-0.304474, w3=1.235846
328: cost=0.251572, w1=-2.801444, w2=-0.303965, w3=1.237007
329: cost=0.251100, w1=-2.808303, w2=-0.303457, w3=1.238167
330: cost=0.250631, w1=-2.815148, w2=-0.302949, w3=1.239324
331: cost=0.250163, w1=-2.821980, w2=-0.302443, w3=1.240479
332: cost=0.249697, w1=-2.828798, w2=-0.301937, w3=1.241631
333: cost=0.249233, w1=-2.835602, w2=-0.301432, w3=1.242780
334: cost=0.248771, w1=-2.842393, w2=-0.300928, w3=1.243928
335: cost=0.248311, w1=-2.849171, w2=-0.300425, w3=1.245073
336: cost=0.247852, w1=-2.855936, w2=-0.299924, w3=1.246215
337: cost=0.247396, w1=-2.862687, w2=-0.299423, w3=1.247356
338: cost=0.246941, w1=-2.869425, w2=-0.298922, w3=1.248494
339: cost=0.246488, w1=-2.876150, w2=-0.298423, w3=1.249629
340: cost=0.246036, w1=-2.882861, w2=-0.297925, w3=1.250763
341: cost=0.245587, w1=-2.889560, w2=-0.297428, w3=1.251894
342: cost=0.245139, w1=-2.896246, w2=-0.296932, w3=1.253023
343: cost=0.244693, w1=-2.902919, w2=-0.296437, w3=1.254150
344: cost=0.244249, w1=-2.909579, w2=-0.295942, w3=1.255274
345: cost=0.243806, w1=-2.916226, w2=-0.295449, w3=1.256397
346: cost=0.243366, w1=-2.922860, w2=-0.294957, w3=1.257517
347: cost=0.242927, w1=-2.929482, w2=-0.294466, w3=1.258635
348: cost=0.242489, w1=-2.936090, w2=-0.293975, w3=1.259751
349: cost=0.242054, w1=-2.942686, w2=-0.293486, w3=1.260865
350: cost=0.241620, w1=-2.949270, w2=-0.292998, w3=1.261977
351: cost=0.241187, w1=-2.955841, w2=-0.292511, w3=1.263087
352: cost=0.240757, w1=-2.962399, w2=-0.292024, w3=1.264195
353: cost=0.240328, w1=-2.968945, w2=-0.291539, w3=1.265300
354: cost=0.239900, w1=-2.975479, w2=-0.291055, w3=1.266404
355: cost=0.239475, w1=-2.982000, w2=-0.290572, w3=1.267506
356: cost=0.239051, w1=-2.988509, w2=-0.290090, w3=1.268605
357: cost=0.238628, w1=-2.995005, w2=-0.289608, w3=1.269703
358: cost=0.238207, w1=-3.001490, w2=-0.289128, w3=1.270799
359: cost=0.237788, w1=-3.007962, w2=-0.288649, w3=1.271893
360: cost=0.237370, w1=-3.014422, w2=-0.288171, w3=1.272985
361: cost=0.236954, w1=-3.020869, w2=-0.287694, w3=1.274075
362: cost=0.236540, w1=-3.027305, w2=-0.287219, w3=1.275163
363: cost=0.236127, w1=-3.033729, w2=-0.286744, w3=1.276249
364: cost=0.235715, w1=-3.040141, w2=-0.286270, w3=1.277334
365: cost=0.235306, w1=-3.046541, w2=-0.285797, w3=1.278416
366: cost=0.234897, w1=-3.052929, w2=-0.285326, w3=1.279497
367: cost=0.234490, w1=-3.059305, w2=-0.284855, w3=1.280576
368: cost=0.234085, w1=-3.065669, w2=-0.284385, w3=1.281653
369: cost=0.233682, w1=-3.072022, w2=-0.283917, w3=1.282728
370: cost=0.233279, w1=-3.078363, w2=-0.283449, w3=1.283802
371: cost=0.232878, w1=-3.084692, w2=-0.282983, w3=1.284874
372: cost=0.232479, w1=-3.091010, w2=-0.282518, w3=1.285944
373: cost=0.232081, w1=-3.097316, w2=-0.282054, w3=1.287012
374: cost=0.231685, w1=-3.103611, w2=-0.281590, w3=1.288079
375: cost=0.231290, w1=-3.109894, w2=-0.281128, w3=1.289144
376: cost=0.230897, w1=-3.116165, w2=-0.280667, w3=1.290207
377: cost=0.230505, w1=-3.122425, w2=-0.280207, w3=1.291268
378: cost=0.230114, w1=-3.128674, w2=-0.279749, w3=1.292328
379: cost=0.229725, w1=-3.134912, w2=-0.279291, w3=1.293386
380: cost=0.229338, w1=-3.141138, w2=-0.278834, w3=1.294443
381: cost=0.228951, w1=-3.147352, w2=-0.278379, w3=1.295498
382: cost=0.228566, w1=-3.153556, w2=-0.277924, w3=1.296551
383: cost=0.228183, w1=-3.159749, w2=-0.277471, w3=1.297602
384: cost=0.227801, w1=-3.165930, w2=-0.277018, w3=1.298652
385: cost=0.227420, w1=-3.172100, w2=-0.276567, w3=1.299701
386: cost=0.227041, w1=-3.178260, w2=-0.276117, w3=1.300748
