
----------------------------------
Learning...
139: cost=0.059917, w1=0.644726, w2=0.188826
140: cost=0.059474, w1=0.646041, w2=0.188127
141: cost=0.059035, w1=0.647351, w2=0.187430
142: cost=0.058598, w1=0.648656, w2=0.186737
143: cost=0.058165, w1=0.649957, w2=0.186045
144: cost=0.057736, w1=0.651253, w2=0.185357
145: cost=0.057309, w1=0.652543, w2=0.184671
146: cost=0.056886, w1=0.653830, w2=0.183987
147: cost=0.056465, w1=0.655111, w2=0.183306
148: cost=0.056048, w1=0.656387, w2=0.182628
149: cost=0.055634, w1=0.657659, w2=0.181952
150: cost=0.055223, w1=0.658926, w2=0.181278
151: cost=0.054815, w1=0.660189, w2=0.180607
152: cost=0.054410, w1=0.661447, w2=0.179939
153: cost=0.054008, w1=0.662700, w2=0.179273
154: cost=0.053609, w1=0.663948, w2=0.178609
155: cost=0.053212, w1=0.665192, w2=0.177948
156: cost=0.052819, w1=0.666431, w2=0.177289
157: cost=0.052429, w1=0.667666, w2=0.176633
158: cost=0.052042, w1=0.668896, w2=0.175979
159: cost=0.051657, w1=0.670122, w2=0.175328
160: cost=0.051275, w1=0.671343, w2=0.174679
161: cost=0.050896, w1=0.672559, w2=0.174032
162: cost=0.050520, w1=0.673771, w2=0.173388
163: cost=0.050147, w1=0.674979, w2=0.172746
164: cost=0.049776, w1=0.676182, w2=0.172107
165: cost=0.049409, w1=0.677381, w2=0.171470
166: cost=0.049044, w1=0.678575, w2=0.170835
167: cost=0.048681, w1=0.679764, w2=0.170203
168: cost=0.048321, w1=0.680950, w2=0.169573
169: cost=0.047964, w1=0.682131, w2=0.168945
170: cost=0.047610, w1=0.683307, w2=0.168320
171: cost=0.047258, w1=0.684479, w2=0.167697
172: cost=0.046909, w1=0.685647, w2=0.167076
173: cost=0.046562, w1=0.686811, w2=0.166458
174: cost=0.046218, w1=0.687970, w2=0.165842
175: cost=0.045877, w1=0.689125, w2=0.165228
176: cost=0.045538, w1=0.690276, w2=0.164616
177: cost=0.045201, w1=0.691422, w2=0.164007
178: cost=0.044867, w1=0.692564, w2=0.163400
179: cost=0.044536, w1=0.693702, w2=0.162795
180: cost=0.044207, w1=0.694836, w2=0.162192
